Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NH3 (µg/m³),Benzene (µg/m³),AT (°C),RH (%),AQI
2022-03-06,53.42,125.19,16.57,0.08,21.95,59.37,114.0
2022-01-15,68.53,134.33,25.55,0.27,10.96,83.13,126.0
2022-06-06,70.13,202.72,7.38,0.18,37.39,29.43,156.0
2022-02-10,40.85,89.92,18.28,0.06,16.06,74.26,80.0
2022-12-01,74.36,179.96,34.71,0.27,18.14,74.59,191.0
2022-10-24,156.71,228.13,19.24,0.21,25.09,69.79,174.0
2022-08-05,32.03,49.04,16.33,0.1,30.35,82.31,46.0
2022-10-07,13.59,24.26,27.75,0.1,25.24,93.17,29.0
2022-11-24,69.32,206.1,28.07,0.26,18.46,64.65,176.0
2022-08-25,24.18,52.55,17.86,0.1,28.99,83.26,44.0
2022-07-27,6.78,26.42,20.35,0.08,29.28,84.09,33.0
2022-08-01,21.24,62.05,15.26,0.08,32.28,71.49,56.0
2022-11-29,91.81,220.67,38.43,0.42,19.27,77.75,215.0
2022-09-09,26.36,45.37,11.4,0.09,31.45,75.84,54.0
2022-12-22,44.83,133.71,42.45,0.26,17.46,66.99,120.0
2022-11-30,77.83,187.75,36.49,0.28,18.67,76.19,208.0
2022-09-27,27.43,63.65,24.28,0.15,29.1,81.51,44.0
2022-07-21,17.23,27.22,27.92,0.1,28.81,85.73,30.0
2022-06-11,96.39,252.68,7.49,0.14,37.89,34.75,180.0
2022-02-13,83.48,167.12,15.83,0.14,16.5,64.04,170.0
2022-08-06,39.65,63.08,56.58,0.12,30.39,85.53,65.0
2022-07-10,17.05,42.15,9.9,0.06,34.99,57.11,46.0
2022-09-17,12.36,35.47,23.16,0.1,28.13,83.98,41.0
2022-04-16,40.54,150.3,16.03,0.0,34.04,27.72,128.0
2022-02-23,57.49,96.28,16.63,0.09,22.0,62.64,102.0
2022-01-02,80.84,171.88,27.56,4.87,13.43,79.02,212.0
2022-02-19,75.4,155.52,19.41,0.23,20.42,58.75,154.0
2022-03-22,55.53,158.72,20.13,0.05,29.81,40.75,118.0
2022-07-25,14.29,23.23,10.74,0.06,28.47,83.7,30.0
2022-02-04,44.35,99.93,25.23,0.08,14.57,86.28,118.0
2022-09-21,18.24,35.11,23.47,0.13,26.4,96.25,35.0
2022-04-02,50.0,131.72,14.95,0.05,30.61,30.43,121.0
2022-02-22,52.35,106.44,17.02,0.07,20.13,58.91,155.0
2022-09-22,19.36,35.07,42.05,0.13,27.18,92.9,36.0
2022-08-30,23.47,50.95,13.8,0.11,29.0,85.44,41.0
2022-01-14,49.8,100.07,25.62,0.39,13.11,78.59,165.0
2022-11-12,115.58,244.08,30.31,0.22,20.87,68.49,237.0
2022-03-30,68.61,170.58,19.2,0.11,32.18,32.81,158.0
2022-10-01,57.55,102.03,28.65,0.2,29.08,79.72,108.0
2022-06-16,37.35,89.75,5.09,0.05,32.92,57.04,72.0
2022-12-25,45.34,128.89,34.92,0.16,16.31,63.56,117.0
2022-05-15,45.33,104.81,14.25,0.13,36.81,50.3,131.0
2022-11-03,155.76,330.17,31.83,0.3,23.85,75.04,311.0
2022-12-17,62.29,153.97,36.5,0.27,15.41,75.41,154.0
2022-11-16,72.32,181.41,30.6,0.24,22.37,66.43,191.0
2022-09-01,21.1,55.33,8.23,0.09,30.11,81.36,62.0
